latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.60825,-78.37433,312.3,0.4,0.6,2019-10-18,0736,N,nominal,1.0NRT,287,2.6,N
29.68312,-98.1829,298.9,0.33,0.55,2019-10-18,0736,N,nominal,1.0NRT,285.2,1.3,N
29.67285,-98.18436,297.4,0.33,0.55,2019-10-18,0736,N,nominal,1.0NRT,285.9,0.4,N
29.57749,-98.03187,335,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,287.2,1.5,N
29.57776,-98.03528,296.3,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,284.5,2.6,N
29.57239,-98.03248,299,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,284.7,1.5,N
29.57531,-98.03411,328.5,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,285.5,3.2,N
29.57502,-98.03071,315.6,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,286.2,2.2,N
29.34129,-97.10828,300.3,0.57,0.52,2019-10-18,0736,N,nominal,1.0NRT,283.6,1.1,N
29.08138,-95.7578,296.8,0.47,0.48,2019-10-18,0736,N,nominal,1.0NRT,285.4,0.6,N
29.06719,-95.74988,303.6,0.47,0.48,2019-10-18,0736,N,nominal,1.0NRT,288.7,2.5,N
28.99688,-97.58939,296.2,0.6,0.53,2019-10-18,0736,N,nominal,1.0NRT,284.9,0.9,N
28.99492,-97.58508,300.2,0.6,0.53,2019-10-18,0736,N,nominal,1.0NRT,285,1.4,N
29.08229,-98.64234,320.1,0.35,0.57,2019-10-18,0736,N,nominal,1.0NRT,285.2,1.3,N
29.07702,-98.64296,301.6,0.35,0.57,2019-10-18,0736,N,nominal,1.0NRT,284.7,0.4,N
28.98792,-97.61763,305.2,0.6,0.53,2019-10-18,0736,N,nominal,1.0NRT,285.2,1.2,N
28.95804,-97.90723,295.6,0.63,0.54,2019-10-18,0736,N,nominal,1.0NRT,285,0.8,N
28.93575,-97.88363,297,0.63,0.54,2019-10-18,0736,N,nominal,1.0NRT,284.9,0.7,N
28.94214,-97.88874,296.8,0.63,0.54,2019-10-18,0736,N,nominal,1.0NRT,285.3,0.7,N
